model,accuracy,precision,recall,f1,roc_auc,cv_f1_mean,cv_f1_std,cv_recall_mean
logistic_regression,0.6944,0.5622987765614939,0.6519223590892124,0.6038029386343993,0.7489342616472244,0.596715165762782,0.0031165961405187578,0.6455898722560054
random_forest,0.6906,0.5595811866378594,0.6284061216871967,0.592,0.740942946743124,0.5854970305542352,0.0029230552052184515,0.6220747214500542
gradient_boosting,0.7216,0.6808445532435741,0.4152668906308324,0.5158822165546023,0.744803107655717,0.5070640398181508,0.005017616061091251,0.40875644583064386
